source;entry_type;document_type;title;authors;year;doi;url;abstract;keywords;journal;booktitle;publisher;pages
ieee;;IEEE Conferences;Big Data as a Service: A Neo-Metropolis Model Approach for Innovation;"H. -M. Chen; R. Kazman; S. Haziyev; V. Kropov; D. Chtchourov";2016;10.1109/HICSS.2016.674;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427862;Big data as a Service (BDaaS) provides a viable alternative to circumvent many obstacles in implementing a big data strategy. Many BDaaS vendors are providing cloud platforms utilizing microservices and DevOps technologies to enable big data analytics for organizations that seek cost-effective and elastic deployments. However, existing models of BDaaS are mostly proprietary, closed-world operations and this can limit the potential for innovation. In this article, we argue for a new model called the Neo-Metropolis model -- a variant of the Metropolis model -- that offers an organized, coherent set of open-world innovation opportunities for vendors as well as for the platform's edge customers. We identify Neo-Metropolis model characteristics and illustrate Neo-Metropolis principles for developing BDaaS using a case study of Cisco's Intercloud Analytics platform. The implications of the Neo-Metropolis model are far beyond just BDaaS and it is foreseen to be an important model for future service platform development.;"Big data;BDaaS;Neo-Metropolis model;Metropolis Model;Intercloud;Service platform";;2016 49th Hawaii International Conference on System Sciences (HICSS);IEEE;
ieee;;IEEE Conferences;Blockchain technology innovations;"T. Ahram; A. Sargolzaei; S. Sargolzaei; J. Daniels; B. Amaba";2017;10.1109/TEMSCON.2017.7998367;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7998367;"Digital world has produced efficiencies, new innovative products, and close customer relationships globally by the effective use of mobile, IoT (Internet of Things), social media, analytics and cloud technology to generate models for better decisions. Blockchain is recently introduced and revolutionizing the digital world bringing a new perspective to security, resiliency and efficiency of systems. While initially popularized by Bitcoin, Blockchain is much more than a foundation for crypto currency. It offers a secure way to exchange any kind of good, service, or transaction. Industrial growth increasingly depends on trusted partnerships; but increasing regulation, cybercrime and fraud are inhibiting expansion. To address these challenges, Blockchain will enable more agile value chains, faster product innovations, closer customer relationships, and quicker integration with the IoT and cloud technology. Further Blockchain provides a lower cost of trade with a trusted contract monitored without intervention from third parties who may not add direct value. It facilitates smart contracts, engagements, and agreements with inherent, robust cyber security features. This paper is an effort to break the ground for presenting and demonstrating the use of Blockchain technology in multiple industrial applications. A healthcare industry application, Healthchain, is formalized and developed on the foundation of Blockchain using IBM Blockchain initiative. The concepts are transferable to a wide range of industries as finance, government and manufacturing where security, scalability and efficiency must meet.";"Blockchain;Business;Cloud computing;Cloud services;Control Systems;Cybersecurity;DevOps;Finance;Government;Healthcare;IoT;Industry 4.0.";;2017 IEEE Technology & Engineering Management Conference (TEMSCON);IEEE;
ieee;;IEEE Conferences;Monitoring V2X applications using DevOps and docker;"J. Rufino; M. Alam; J. Ferreira";2017;10.1109/ISC2.2017.8090868;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8090868;Vehicular communications are gaining one of the largest share of the automotive IoT market. The combination of the automotive sector with the transportation resulted in the emergence of the concept of connected vehicles. Therefore, motivating new proposals for real-time applications for managing traffic and incident alerts to improve the overall mobility and road safety. The growing demand for new and better solutions lead to two of the biggest challenges faced in IoT - scalability and interoperability. Therefore in this paper, we propose an highly modular and easily distributable architecture built upon DevOps practices and relying on edge computing to enable V2X applications to be easily deployed and monitored in real-time. The architecture was implemented and a vehicular application was divided in small modules to validate the functionalities of the proposed architecture.;"Vehicular Networks;V2X;Docker;DevOps;Wireless Communication";;2017 International Smart Cities Conference (ISC2);IEEE;
ieee;;IEEE Conferences;Verification and validation framework for 5G network services and apps;"M. Zhao; F. Le Gall; P. Cousin; R. Vilalta; R. Muñoz; S. Castro; M. Peuster; S. Schneider; M. Siapera; E. Kapassa; D. Kyriazis; P. Hasselmeyer; G. Xilouris; C. Tranoris; S. Denazis; J. Martrat";2017;10.1109/NFV-SDN.2017.8169878;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169878;5G does not only aim at higher capacity and lower latency than current 4G in mobile broadband networks, but also to increase the level of programmability, control and flexibility to meet the requirements from innovative use cases such as IoT, smart manufacturing, and immersive media. However, several difficulties still need to be overcome for a better technological adoption. To reduce the time-to-market for networked services and to lower the entry barrier to third party developers of VNFs and network services, an integrated development and operations (DevOps) methodology is a promising way. One of the biggest challenges in upcoming 5G DevOps is the validation and verification (V&V) of individual VNFs and network services (VNF graphs) so that operators can be sure of their behavior. In this paper, we propose an NFV architecture that supports the DevOps methodology with a V&V platform and an advanced NFV catalogue. The conceptual components of the V&V platform, the foreseen methodology and the outcomes are explained. Finally, we explore some perspectives in applying such V&V approach in another 5G research project.;;;2017 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN);IEEE;
ieee;;IEEE Conferences;DevOps Reference Architecture for Multi-cloud IOT Applications;"G. B. Ghantous; A. Q. Gill";2018;10.1109/CBI.2018.00026;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8452669;There is a growing interest among organizations in adopting DevOps approach for IoT (Internet of Things) applications. However, the challenge is: how to apply DevOps when a multi-cloud heterogeneous environment is required for IoT application. This paper aims to addresses this important challenge and proposes a DevOps Reference Architecture (DRA) to deploy IoT-applications on multi-cloud. The proposed architecture is evaluated by the means of a case study, which involves deploying an IoT application on the chosen set of clouds. The results of this initial evaluation indicate that the proposed architecture would help practitioners and researchers to understand the usefulness and applicability of DevOps approach on multi-cloud platform for automating IoT application deployment.;Multi-cloud and IoT, Multi-Cloud and DevOps, DevOps architecture, DevOps and IoT, Multi-Cloud integration, Multi-Cloud evaluation;;2018 IEEE 20th Conference on Business Informatics (CBI);IEEE;
ieee;;IEEE Conferences;The Next Generation Platform as a Service Cloudifying Service Deployments in Telco-Operators Infrastructure;"A. Mimidis; E. Ollora; J. Soler; S. Bessem; L. Roullet; S. Van Rossem; S. Pinneterre; M. Paolino; D. Raho; X. Du; J. Chesterfield; M. Flouris; L. Mariani; O. Riganelli; M. Mobilio; A. Ramos; I. Labrador; A. Broadbent; P. Veitch; M. Zembra";2018;10.1109/ICT.2018.8464838;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8464838;5G standard emerges at a particular time in technology history when cloud transforms deeply almost all industries and services: it becomes obvious that innovations have to be made cloud-native for being successful. 5G must become the ubiquitous fabric blending universal connectivity (to humans, robots, sensors...) with cloud versatility and scalability. For realizing this vision, another model than laaS must be adopted, the Platform as a Service (PaaS), which should be built to support telco-grade requirements and combine all sort of third-party applications. These are the core objectives of the Next Generation Platform as a Service (NGPaaS) project, a H2020 5G PPP Phase 2 project. The paper presents the project fundamentals, its architectural proposal and most relevant features.;"telco;microservices;5G;PaaS;DevOps;Dev-for-Operations;SDN;NFV;FPGA;vSwitch;ioT;cloud native";;2018 25th International Conference on Telecommunications (ICT);IEEE;
ieee;;IEEE Conferences;If Docker is the Answer, What is the Question?;"H. Zhu; I. Bayley";2018;10.1109/SOSE.2018.00027;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359160;The recent rise of cloud computing poses serious challenges for software engineering because it adds complexity not only to the platform and infrastructure, but to the software too. The demands on system scalability, performance and reliability are ever increasing. Industry solutions with widespread adoption include the microservices architecture, the container technology and the DevOps methodology. These approaches have changed software engineering practice in such a profound way that we argue that it is becoming a paradigm shift. In this paper, we examine the current support of programming languages for the key concepts behind the change in software engineering practice and argue that a novel programming language is required to support the new paradigm. We report a new programming language CAOPLE and its associated Integrated DevOps Environment CIDE and demonstrate the utility of both.;"Cloud computing;Microservices;Container technology;DevOps;Service agent orientation;Software engineering paradigms;Parallel and distributed programming models;Software development methodology;Programming languages;Integrated Software Development Environment.";;2018 IEEE Symposium on Service-Oriented System Engineering (SOSE);IEEE;
ieee;;IEEE Conferences;Open Banking & APIs for Transformation in Banking;"A. Premchand; A. Choudhry";2018;10.1109/IC3IoT.2018.8668107;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8668107;Open Banking and Open APIs have gained momentum and have grown from purely technical capabilities to being of business relevance. Open Banking is an innovative model for the financial industry not only from competition perspective but also from customer engagement perspective. Banks will have to help their customers with superior and more agile offerings. Banks should enable their customers to manage their financial affairs, make better decisions, save money etc. Digital disruption, FinTechs and Regulatory compliance such as Revised Payment Services Directive (PSD2) have accelerated the competition and forced banks to open up their systems. Using API, banks can transform their core systems for innovations and can integrate with internal system and external partners in a simpler, secure and controlled way.This paper takes a look at why open API is the foundation of open banking, values creating using open APIs, open banking framework/building blocks, and challenges faced by banks in implementing the open banking. It also highlights the various initiatives taken for API standardization.;"Open banking;open API;PSD2;open banking framework;API standardization;open data;financial institutions;banks";;2018 International Conference on Communication, Computing and Internet of Things (IC3IoT);IEEE;
ieee;;IEEE Conferences;Architecture Simplification at Large Institutions using Micro Services;"A. Premchand; A. Choudhry";2018;10.1109/IC3IoT.2018.8668173;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8668173;As technocrats and technical architects, each day we are challenged by the maze of complex monolithic applications that have become characteristic of large organizations, especially financial institutions. In this paper, we focus on rehabilitation of such monstrous architectural spaces using the lever of microservices. In our recent experience, there is a lot of interest in the field of microservices especially elicited due to the complexity of architecture and near impossibility of managing them as-is rationally. It is our effort to focus on what microservices are and how they can be used to great advantage for architecture simplification exercises especially at large institutions.;"Microservices;micro service;architecture;simplification;rationalization;financial institutions;banks;monolithic applications";;2018 International Conference on Communication, Computing and Internet of Things (IC3IoT);IEEE;
ieee;;IEEE Conferences;5GTANGO: An Approach for Testing NFV Deployments;"P. Twamley; M. Müller; P. -B. Bök; G. K. Xilouris; C. Sakkas; M. A. Kourtis; M. Peuster; S. Schneider; P. Stavrianos; D. Kyriazis";2018;10.1109/EuCNC.2018.8442844;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8442844;Programmability, control and flexibility can be considered as some of the indirect enablers for the success of 5G technologies. A key driver towards this are mechanisms or methodologies to drive shorter time to market for suppliers and operators of virtual network functions (VNFs) and network services. 5GTANGO includes a DevOps approach that can be utilized for the validation and verification (V&V) of VNFs and network services. In this paper, we elaborate further on the approaches made in the areas of testing, catalogues and package management as a means to enable that full DevOps V&V workflow. Finally, we explore the deployment requirement of the V&V via one of our pilot use cases.;;;2018 European Conference on Networks and Communications (EuCNC);IEEE;
