source;entry_type;document_type;title;authors;year;doi;url;abstract;keywords;journal;booktitle;publisher;pages
ieee;;IEEE Conferences;Realization of a Model-Based DevOps Process for Industrial Safety Critical Cyber Physical Systems;"S. Gautham; A. V. Jayakumar; A. Rajagopala; C. Elks";2021;10.1109/ICPS49255.2021.9468213;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468213;Safety critical Industrial Cyber Physical Systems (CPS) have stringent safety and security requirements and need assurance of deterministic behavior during system operation. In many safety critical application domains, runtime monitors (or runtime verification) are used to enforce operational safety and security. One of the challenges in runtime verification is to identify the critical safety properties that we want to monitor at runtime. In this paper, we explore how structural verification activities in a Model Based Design and Engineering (MBDE) context help formulate more effective monitoring specifications to cover vulnerable areas in a system. We assert that leveraging synergy between design and runtime verification produces more informed runtime safety monitors. This approach of integrating design assurance and runtime safety and security is an important aspect of the dependable DevOps continuum process. To demonstrate this, we perform verification of an Emergency Diesel Generator Startup Sequencer (EDGSS) implemented on an FPGA overlay architecture using model-based verification techniques. We present our key findings on synergy between runtime verification and design processes to support a more inclusive safety case.;"Runtime verification;model-based engineering;Industrial Cyber Physical Systems;DevOps";;2021 4th IEEE International Conference on Industrial Cyber-Physical Systems (ICPS);IEEE;
ieee;;IEEE Conferences;Understanding the context of IoT software systems in DevOps;"I. M. Pereira; T. G. de Senna Carneiro; E. Figueiredo";2021;10.1109/SERP4IoT52556.2021.00009;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9516810;The growing demand for connected devices and the increase in investments in the Internet of Things (IoT) sector induce the growth of the market for this technology. IoT permeates all areas of life of an individual, from smartwatches to entire home assistants and solutions in different areas. The IoT concept is gradually increasing all over the globe. IoT projects induce an articulation of studies in software engineering to prepare the development and operation of software systems materialized in physical objects and structures interconnected with embedded software and hosted in clouds. IoT projects have boundaries between development and operation stages. This study search for evidence in scientific literature to support these boundaries through Development and Operations (DevOps) principles. We rely on a Systematic Literature Review to investigate the relations of DevOps in IoT software systems. As a result, we identify concepts, characterize the benefits and challenges in the context of knowledge previously reported in primary studies in the literature. The main contributions of this paper are: (i) discussion of benefits and challenges for DevOps in IoT software systems, (ii) identification of tools, concepts, and programming languages used, and, (iii) perceived pipeline for this kind of software development.;"DevOps;IoT Software Systems;Internet of Things Software Systems";;2021 IEEE/ACM 3rd International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT);IEEE;
ieee;;IEEE Conferences;Microservices for Continuous Deployment, Monitoring and Validation in Cyber-Physical Systems: an Industrial Case Study for Elevators Systems;"A. Gartziandia; J. Ayerdi; A. Arrieta; S. Ali; T. Yue; A. Agirre; G. Sagardui; M. Arratibel";2021;10.1109/ICSA-C52384.2021.00014;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425852;Cyber-Physical Systems (CPSs) are systems that integrate digital cyber computations with physical processes. The software embedded in CPSs has a long life-cycle, requiring constant evolution to support new requirements, bug fixes, and deal with hardware obsolescence. To date, the development of software for CPSs is fragmented, which makes it extremely expensive. This could be substantially enhanced by tightly connecting the development and operation phases, as is done in other software engineering domains (e.g., web engineering through DevOps). Nevertheless, there are still complex issues that make it difficult to use DevOps techniques in the CPS domain, such as those related to hardware-software co-design. To pave the way towards DevOps in the CPS domain, in this paper we instantiate part of the reference architecture presented in the H2020 Adeptness project, which is based on microservices that allow for the continuous deployment, monitoring and validation of CPSs. To this end, we elaborate a systematic methodology that considers as input both domain expertise and a previously defined taxonomy for DevOps in the CPS domain. We obtain a generic microservice template that can be used in any kind of CPS. In addition, we instantiate this architecture in the context of an industrial case study from the elevation domain.;"Microservices;DevOps;Cyber-Physical Systems";;2021 IEEE 18th International Conference on Software Architecture Companion (ICSA-C);IEEE;
ieee;;IEEE Conferences;Proposal of Management Agent for Delay Sensitive IoT Communication;"M. Katoh; T. Kubota; T. Yasuie; Y. Watanabe; Y. Nomura";2021;10.1109/ICOIN50884.2021.9334001;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334001;Due to the penetration of IoT, a management scheme for delay sensitive applications is required because many applications need real time data processing such as event detection. Furthermore, since machine to machine (M2M) communications without human intervention will emerge, a negotiation procedure for M2M is required. Then, we propose to introduce software agents for the management by exchanging and analyzing not only the profile of machines but also the dynamic status. In this paper, we show that data such as utilization and location of the machine are useful to manage delay sensitive communication. Concretely, we first formulate the transfer delay for event delivery and data gathering to determine the suitable location to perform them. Next, we discuss the negotiation procedure for M2M communication, and verify that the requesting agent should declare the deadline for the requested agent to keep reasonable response time.;"IoT;management;agent;delay sensitive;event;push;pull";;2021 International Conference on Information Networking (ICOIN);IEEE;
ieee;;IEEE Conferences;AIDOaRt: AI-augmented Automation for DevOps, a Model-based Framework for Continuous Development in Cyber-Physical Systems;"R. Eramo; V. Muttillo; L. Berardinelli; H. Bruneliere; A. Gomez; A. Bagnato; A. Sadovykh; A. Cicchetti";2021;10.1109/DSD53832.2021.00053;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556443;With the emergence of Cyber-Physical Systems (CPS), the increasing complexity in development and operation demands for an efficient engineering process. In the recent years DevOps promotes closer continuous integration of system development and its operational deployment perspectives. In this context, the use of Artificial Intelligence (AI) is beneficial to improve the system design and integration activities, however, it is still limited despite its high potential. AIDOaRT is a 3 years long H2020-ECSEL European project involving 32 organizations, grouped in clusters from 7 different countries, focusing on AI-augmented automation supporting modelling, coding, testing, monitoring and continuous development of Cyber-Physical Systems (CPS). The project proposes to apply Model-Driven Engineering (MDE) principles and techniques to provide a framework offering proper AI-enhanced methods and related tooling for building trustable CPSs. The framework is intended to work within the DevOps practices combining software development and information technology (IT) operations. In this regard, the project points at enabling AI for IT operations (AIOps) to auto-mate decision making process and complete system development tasks. This paper presents an overview of the project with the aim to discuss context, objectives and the proposed approach.;"Continuous System Engineering;DevOps;AIOPS;Software engineering;Scientific computing;Simulation and Modelling Tools;Cyber-Physical Systems;Artificial Intelligence";;2021 24th Euromicro Conference on Digital System Design (DSD);IEEE;
ieee;;IEEE Conferences;A DevOps Approach for Cyber-Physical System-of-Systems Engineering through Arrowhead;"C. Hegedũs; P. Varga; A. Frankó";2021;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464069;The stakeholders in the Cyber-Physical System-of-Systems (CPS, SoS, CPSoS) domains need to adopt current methodologies that enable reliable but also flexible and timely completion of development, integration, deployment, operation, and even maintenance-related tasks. The so-called DevOps (Development & Operations) approach has been proven in various other domains of IT-related service completion and operation. Both the technology set and the management approaches of CPS and SoS practitioners can benefit the adoption of the DevOps toolchain success stories - the everyday life of software, cloud and IT-service development, and operations-focused companies. This paper proposes an expansion of the application area of the DevOps models, toolchains, and even utilities to the CPS and SoS domains. It proposes to create an abstraction of CPS devices as reusable infrastructure resources, which can be then automatically re-purposed for new workflow tasks, as well as to fill the remaining DevOps tooling gaps with actual Systems of the Arrowhead Framework.;;;2021 IFIP/IEEE International Symposium on Integrated Network Management (IM);IEEE;
ieee;;IEEE Conferences;VeriDevOps: Automated Protection and Prevention to Meet Security Requirements in DevOps;"A. Sadovykh; G. Widforss; D. Truscan; E. P. Enoiu; W. Mallouli; R. Iglesias; A. Bagnto; O. Hendel";2021;10.23919/DATE51398.2021.9474185;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474185;Current software development practices are increasingly based on using both COTS and legacy components which make such systems prone to security vulnerabilities. The modern practice addressing ever changing conditions, DevOps, promotes frequent software deliveries, however, verification methods artifacts should be updated in a timely fashion to cope with the pace of the process. VeriDevOps, Horizon 2020 project, aims at providing a faster feedback loop for verifying the security requirements and other quality attributes of large scale cyber-physical systems. VeriDevOps focuses on optimizing the security verification activities, by automatically creating verifiable models directly from security requirements formulated in natural language, using these models to check security properties on design models and then generating artefacts such as, tests or monitors that can be used later in the DevOps process. The main drivers for these advances are: Natural Language Processing, a combined formal verification and model-based testing approach, and machine-learning-based security monitors. VeriDevOps is in its initial stage - the project started on 1.10.2020 and it will run for three years. In this paper we will present the major conceptual ideas behind the project approach as well as the organizational settings.;"Model-Driven Engineering;Cybersecurity;Security-by-design;Prevention and Reaction;Requirement;Design checking;Testing and validation;Runtime Analysis;Root cause analysis;Natural Language Processing;Machine Learning";;2021 Design, Automation & Test in Europe Conference & Exhibition (DATE);IEEE;
ieee;;IEEE Conferences;Cloud Simulation for Continuous Integration and Deployment in Robotics;"S. Teixeira; R. Arrais; G. Veiga";2021;10.1109/INDIN45523.2021.9557476;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9557476;Continuous Integration and Deployment in the robotics domain is still underutilized when compared to other fields of software development. Also, conventional testing techniques used in CI/CD pipelines are usually not enough to fully test a robotic project in its integrity. In this paper, an analysis is made regarding the usage of CI/CD techniques in robotic related repositories to both verify the veracity of these statements, as well as finding their causes. Additionally, a novel approach in the scope of CI/CD is explored, making use of cloud-based technologies to add additional automated simulation tests to the pipeline and integrate them with ease in the development of robotic software. Finally, the proposed approach is showcased in an industrial application.;"Continuous Integration;Continuous Deployment;Cloud Robotics;Software Engineering;Robotic Simulation;Robotic Software Development;ROS";;2021 IEEE 19th International Conference on Industrial Informatics (INDIN);IEEE;
ieee;;IEEE Journals;The Systems Engineering DevOps Lemniscate and Model-Based System Operations;"J. T. J. Mathieson; T. Mazzuchi; S. Sarkani";2021;10.1109/JSYST.2020.3015595;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9179780;Systems engineering is defined as a “full life cycle” discipline and provides methodologies and processes to support the design, development, verification, sustainment, and disposal of systems. While this cradle-to-grave concept is well documented throughout literature, there has been recent emphasis on evolving and digitally transforming systems engineering methodologies, practices, and tools for the latter phases of system life cycles. This article adapts principles from the software engineering domain DevOps concept (a collaborative merger of system development and operations) into a Systems Engineering DevOps (SEDevOps) life cycle model. This facilitates a merger of systems engineering processes, tools, and products into a surrogate operational environment in which the sustainment of a system is tied closely to the curation of a system model expanded to include the enabling system elements necessary for operations and sustainment (procedures, scripts, etc.). This progression of the systems engineering mindset, focused on digitally transforming and enhancing system operations and sustainment, improves agility in later life cycle phases. A framework for applying SEDevOps is introduced as a new systems modeling language profile. A use-case leveraging this “model-based system operations” framework, shows how merging support elements into a spacecraft system model improves adaptability during operations, exemplifying elements of a DevOps approach to cyber-physical system sustainment.;"Agile;DevOps;digital transformation;life cycle;model-based systems engineering (MBSE);systems engineering";;IEEE Systems Journal;IEEE;
ieee;;IEEE Conferences;A Generic Method to Rapidly Release Internet Services on Commercial Platforms;"X. Zhou; Z. Feng; J. Xiao; S. Chen; X. Xue; H. Wu";2021;10.1109/ICWS53863.2021.00055;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9590282;The prosperous development of Internet services such as O2O, IoT, and Web API has brought new vitality to service commercial platforms. However, these services involve online and offline business, which are widely diverse without a unified design and development standard. In addition, Internet services update frequently, which leads to repeat releases on commercial platforms. Therefore, in this paper, we present a generic method to rapidly release Internet services on commercial platforms. The method uses a highly abstract metamodel to express service business extensively and realizes service functions by executing metamodel objects. This method has wide versatility. Meanwhile, it extends the DevOps theory to solve the frequent changes of service functions during use after the release. Finally, we verified the usability of this method in the elderly healthcare domain.;"Internet service;commercial platform;DevOps;service release;metamodel;elderly healthcare";;2021 IEEE International Conference on Web Services (ICWS);IEEE;
ieee;;IEEE Conferences;Architectural Vision of Cloud Computing in the Indian Government;"N. V. Choudhari; A. B. Sasankar";2021;10.1109/ICITIIT51526.2021.9399598;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9399598;The GI (Govt. of India) cloud started in 2014 is built on the state of art technologies and rich architecture with the nationwide network infrastructure and Data Centres located across the country on National and State data centres. This paper investigates, study and analyze the cloud architecture of Govt. of India and suggests modifications that need to be adapted for sustainable development as per the global changing scenario and fulfill the future needs with improved service delivery, increased throughput, and increased efficiency to provide secured cloud services and to minimize the gap between the cloud service providers and end-users. The cloud services are designed for centralized storage and processing. The cloud data centers are generally located thousands of miles away from the end-users where the data is actually generated. The physical distance between the cloud infrastructure and the data source at edge level end-users produces latency for the real-time processing of the huge amount of data generated at the source level. In recent years the automation scenario is changing globally with various emerging technologies such as the Internet of Things (IoT), Wireless Fidelity 6 (Wi-Fi 6), Fifth Generation Mobile Network connectivity (5G), Artificial Intelligence (AI), and Machine Learning, etc. Emerging technologies like IoT, Wi-Fi 6, 5G gives large scope for boundary level computing and generates a very huge amount of data at the data source level produced by the end-users. These technologies require agile real-time processing and analysis of the data at the source level. Edge computing and Fog computing are the distributed architectures that work together, for reduced latency and speedy real-time processing where the data is actually generated by the end-user. According to the new implementation demands, various emerging cloud technologies such as Mobile Cloud Apps, Containers, Serverless, Microservices, Development and Information Technology Operations (DevOps), BlockChain, Fog computing, Edge Computing, and Software-Defined Infrastructure (SDI), etc are proposed for implementation.;"GI Cloud Architecture;VMware Technology Stack;Open Stack-based cloud technology;emerging cloud architectures";;2021 International Conference on Innovative Trends in Information Technology (ICITIIT);IEEE;
ieee;;IEEE Conferences;A Digital Twin with Runtime-Verification for Industrial Development-Operation Integration;"S. D. C. Saratha; C. Grimm; F. Wawrzik";2021;10.1109/ICE/ITMC52061.2021.9570222;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9570222;This paper gives an overview of a data model of a digital twin for industrial development-operation integration (DevOps). The data model structures the models from development and links it with data from operation. The models from development are represented by ontologies that describe the functional decomposition in parts and associated properties. The properties are linked with symbolic reachability information that is created during development. This can be used as a basis for runtime verification. The approach is demonstrated by a water level monitor example.;"Runtime Verification;Digital Twin;DevOps integration;ontologies;affine arithmetic;Arrowhead;Arrowhead Tools";;2021 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC);IEEE;
ieee;;IEEE Conferences;Process Model for Integrated Product Lifecycles Using Digital Twins and Predictive Analytics;"F. Reiche; H. Timinger";2021;10.1109/TEMSCON-EUR52034.2021.9488653;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488653;Digital development processes and methods are already established in software development. They promise speed, more flexibility in case of changes and thus customer-oriented products. In mechanical and plant engineering, as well as in mechanical products in general, these methods and this approach are not yet common. With our process model, we show how digitalisation can bring these development processes and methods. Therefore, a process model based on DevOps, known from software development, was created to allow iterative and digital engineering in hardware design. According to a case study concerned, this process model allows to accept changes during development at a later point in time and enable iterative testing. The concept has to be proven in practice in a planned development project based on this method.;"developing;Devops;digital twin;integrated product life cycle;predictive analytics;process model;virtual engineering";;2021 IEEE Technology & Engineering Management Conference - Europe (TEMSCON-EUR);IEEE;
ieee;;IEEE Conferences;DevOps based migration aspects from Legacy Version Control System to Advanced Distributed VCS for deploying Micro-services;"V. Singh; A. Singh; A. Aggarwal; S. Aggarwal";2021;10.1109/CSITSS54238.2021.9683718;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9683718;Out of all version control system existed in development world, now a days 79% version control systems are on Git and it’s growing. Many organizations have already left older version control system and adopted Git as their VCS. Although there are some migration tools available in the software industry, their options are somewhat lacking, especially when it comes to pre-migration checks such as empty directories, failover capability and reporting as steps of post-migration. In this work, various aspects of the migration work are explored within the sort of problems and their respective solutions. Four migration aspects - Project structure validation and self-resiliency capabilities, Sensing the SVN & Git SSH network connectivity using NodeMCU IoT platform, SVN users and Git author mapping pattern validation, Remote Git server filing system & space pre-validation - are covered in this work along with possible solutions. Various DevOps systems for version control migration are investigated like Kubernetes, AppDynamics, Chef, Jenkins. It is observed that current legacy migration DevOps tools do not provide the direct solutions for the version control migration like software project structure validation and self-resiliency approach but they indirectly speedup the migration by providing infrastructure provisioning, validation, monitoring and scaleup/down as and when required. It means no single migration tool pre-check that if the software project structure is 100% compatible for Git server and if there’s any discrepancy then automatically correct that structure. One of the main aims of DevOps is to bridge the gap between Business, Dev and IT with the aim of converting the SDLC into a strategic resource for the firm. However, to achieve this goal, it is imperative to choose the right tools.;"Version Control System;Git;Subversion (SVN);Prevalidation;Auto resilient;NodeMCU;IoT";;2021 IEEE International Conference on Computation System and Information Technology for Sustainable Solutions (CSITSS);IEEE;
ieee;;IEEE Conferences;Software Services Engineering Manifesto - A Cross-Cutting Declaration;"C. K. Chang; P. Ceravolo; R. N. Chang; S. Helal; Z. Jin; X. Liu; H. Ming";2021;10.1109/ICWS53863.2021.00014;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9590227;As we have entered the Internet-of-Things (IoT) era, further blessed with rapid advances in several key technological areas including DevOps, AI/ML, 5G/6G/, neurocomputing, to name a few, it is imperative we think big and aim high. This new venture will require professionals in both software engineering and services computing to collaborate with an unprecedented intensity, and jointly develop the new interdisciplinary field hereby named Software Services Engineering (SSE). In SSE, the ever-deepening system dynamics emerging from both environments and humans in varying contexts are imposing steep challenges to both researchers and practitioners. Humans, both developers and the vast number of end users, are embedded ever closer to IoT environments, and are being afforded ample opportunities to continuously inject inputs during system development and after deployment. In fact, humans are increasingly playing the roles of both sensor and actuator. Traditional requirements engineering researchers are being lured more than ever into exploiting the IoT environments where human users are deeply embedded, to gather contextual information that inevitably introduces lots of ambiguity and uncertainty. Provisioning of highly adaptable and scalable microservices would be key to timely meeting ever-changing human desires and ever-evolving system requirements in the nimblest manner. As such, an ultra-agile and field-programmable development methodology and environment will be imperative to achieving such ultrafine grained microservices provisioning. Such ultra-agility and ultrafine granularity requirements imposed to the services industry obligate company executives to expect extreme manageability assurance to become the centroid of system operations and administration. The ultimate goal in pursuit of such a noble dream will be to provide genuinely individualized and trustworthy service, possibly enabled by AI, but it should be both explainable and ethical. Facing such grand challenges, this declaration samples a subset of burning issues in SSE through observations in seven themes, only meant to be starting points for the SSE community to further investigate. Through our declarations we also call for heightened attention to an assorted array of existing, barely emerging or non-existent services computing and software engineering methods for a concerted effort to research and explore.;"agile;AI;context-aware;DevOps;IoT;microservice;ML;requirements engineering;services computing;situation-aware;software engineering;software services engineering;uncertainty";;2021 IEEE International Conference on Web Services (ICWS);IEEE;
ieee;;IEEE Conferences;Perceived benefits of Continuous Deployment in Software-Intensive Embedded Systems;"A. Dakkak; D. I. Mattos; J. Bosch";2021;10.1109/COMPSAC51774.2021.00126;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9529712;"Continuous Deployment (CD) advocates for quick and frequent deployments of software to production. The goal is to bring new functionality as early as possible to users while learning from their usage. CD has emerged from web-based applications where it has been gaining traction over the past years. While CD is appealing for many software development organizations, empirical evidence on perceived benefits in software-intensive embedded systems is scarce. The objective of this paper is to identify perceived benefits after transitioning to continuous deployment from a long-cycle release and deployment process. To do that, a case study at a multinational telecommunication company was conducted focusing on large and complex embedded software; the Third Generation (3G) Radio Access Network (RAN) software.";"Continuous deployment;Agile Software Development;Continuous Software Engineering;DevOps;Software-intensive embedded system";;2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC);IEEE;
ieee;;IEEE Conferences;Acceptance Testing Optimization Method for Continuous Delivery;"P. Hu; C. Chaowen; Y. Ma; X. Wang";2021;10.1109/CECIT53797.2021.00037;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9741963;From agile to DevOps, development methods have been extended from continuous integration to continuous delivery. In the acceptance testing before software delivery, the constantly changing software configuration, real user environment, and user-led testing, all of these extend the delivery time and increase the risk of testing. How to further optimize the test and shorten the delivery cycle are problem that must be considered to realize the end-to-end value flow in DevOps. In the testing optimization research, the methods are mainly for regression testing. There are few researches on acceptance testing, and the methods for the acceptance testing mainly focus on specific scenario, that almost none research consider how to shorten the continuous delivery cycle. Aiming at the characteristics of acceptance testing, this paper proposes an acceptance testing optimization method for continuous delivery. For different levels of test cases, test case selection and prioritization are used to optimize test cases. Firstly, the test suite related to requirements is constructed, and the test cases are selected according to the requirements. Then, the test suites are divided into two levels to prioritize. During the test execution, the use case execution actions are streamlined to shorten execution time of the acceptance testing, meet user needs as soon as possible and achieve rapid value delivery. Finally, the method is applied to actual industrial projects for experiments. The results show that the method can reduce the scale of test cases, shorten the test execution times and improve the efficiency of demand satisfaction.;"testing optimization;acceptance testing;test case selection;test case prioritization";;2021 2nd International Conference on Electronics, Communications and Information Technology (CECIT);IEEE;
ieee;;IEEE Conferences;Anomaly Detection in a Large-Scale Cloud Platform;"M. S. Islam; W. Pourmajidi; L. Zhang; J. Steinbacher; T. Erwin; A. Miranskyy";2021;10.1109/ICSE-SEIP52600.2021.00024;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402147;Cloud computing is ubiquitous: more and more companies are moving the workloads into the Cloud. However, this rise in popularity challenges Cloud service providers, as they need to monitor the quality of their ever-growing offerings effectively. To address the challenge, we designed and implemented an automated monitoring system for the IBM Cloud Platform. This monitoring system utilizes deep learning neural networks to detect anomalies in near-real-time in multiple Platform components simultaneously. After running the system for a year, we observed that the proposed solution frees the DevOps team's time and human resources from manually monitoring thousands of Cloud components. Moreover, it increases customer satisfaction by reducing the risk of Cloud outages. In this paper, we share our solutions' architecture, implementation notes, and best practices that emerged while evolving the monitoring system. They can be leveraged by other researchers and practitioners to build anomaly detectors for complex systems.;;;2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP);IEEE;
ieee;;IEEE Conferences;Performance Evaluation of COINS Framework for Wireless Network Automation;"I. Boškov; H. Yetgin; C. Fortuna; M. Mohorčič";2021;10.1109/EuCNC/6GSummit51104.2021.9482454;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482454;"With the evolution of mobile communications towards fifth-generation (5G) and beyond, all layers of the wireless networks are increasingly virtualized and software-controlled using automated tools. DevOps tools enabling smooth and fast testing through continuous integration (CI) and rapid deployment through continuous delivery (CD) of the software in cloud environments are permeating also communication infrastructures, eventually leading to the so-called “zero-touch network automation”. Such automation frameworks have been actively used in wireless testing infrastructures, such as FIRE and GENI. For instance, the continuous integration in wireless (COINS) technology development framework has been used in the LOG-a-TEC testbed facility of the FIRE federation. In this paper, we propose a task-based operational structure of COINS for a thorough evaluation of the time for operation (TFO) performance of each task. Moreover, we analyse the impact of different experiments and the number of nodes participating in the experiment on the TFO performance of the COINS framework. The results; i) demonstrate that the device tasks within COINS framework are the bottleneck occupying up to 92.6% of the total TFO, and ii) reveal that the TFO performances of the receive details task on the device side and the gather results task on the server side are significantly diminished with the increased number of nodes participating in the same type of experiment.";"Continuous integration;continuous delivery;wireless networks;DevOps;experimentation;network automation;evaluation;operation time;automated operation;Internet of things";;2021 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit);IEEE;
ieee;;IEEE Conferences;Towards MLOps: A Framework and Maturity Model;"M. M. John; H. H. Olsson; J. Bosch";2021;10.1109/SEAA53835.2021.00050;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582569;The adoption of continuous software engineering practices such as DevOps (Development and Operations) in business operations has contributed to significantly shorter software development and deployment cycles. Recently, the term MLOps (Machine Learning Operations) has gained increasing interest as a practice that brings together data scientists and operations teams. However, the adoption of MLOps in practice is still in its infancy and there are few common guidelines on how to effectively integrate it into existing software development practices. In this paper, we conduct a systematic literature review and a grey literature review to derive a framework that identifies the activities involved in the adoption of MLOps and the stages in which companies evolve as they become more mature and advanced. We validate this framework in three case companies and show how they have managed to adopt and integrate MLOps in their large-scale software development companies. The contribution of this paper is threefold. First, we review contemporary literature to provide an overview of the state-of-the-art in MLOps. Based on this review, we derive an MLOps framework that details the activities involved in the continuous development of machine learning models. Second, we present a maturity model in which we outline the different stages that companies go through in evolving their MLOps practices. Third, we validate our framework in three embedded systems case companies and map the companies to the stages in the maturity model.;"MLOps;Framework;Maturity Model;SLR;GLR;Validation Study";;2021 47th Euromicro Conference on Software Engineering and Advanced Applications (SEAA);IEEE;
ieee;;IEEE Conferences;On Comparative Analysis of Advanced Omega Network and Irregular Advance Omega Network;V. P. Bhardwaj;2021;10.1109/ICIIP53038.2021.9702700;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702700;Parallel computation gives strength to the applications where high end and reliable computation is required. It is now aligned with the latest technologies of computer science. Blockchain technology, IoT, DevOps, AI and ML are some of the examples of latest technologies. At the core of almost every technology, it is observed that parallel computation is required and interconnection network gives strength to parallel computing applications. Therefore, author has shown his interest in this particular domain. In the present paper, author has compared two interconnection networks i.e. advanced omega network and irregular advance omega network. The comparison is founded on certain performance factors like bandwidth, and throughput. Both of these networks are coming into the categories of multistage interconnection networks, which have a huge contribution in the field of parallel computing. Further, result section shows that advanced omega network is better in terms of performance than the irregular advance omega network at network size 16, and it can be used as an alternative network for the applications where high performance computing is required.;"Interconnection Networks;Advanced Omega Network;Irregular Advance Omega Network;Bandwidth;Throughput";;2021 Sixth International Conference on Image Information Processing (ICIIP);IEEE;
ieee;;IEEE Conferences;Challenges of Adopting DevOps Culture on the Internet of Things Applications - A Solution Model;"A. Bijwe; P. Shankar";2022;10.1109/ICTACS56270.2022.9988182;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988182;DevOps is a culture that emphasizes team cooperation and encourages enterprises to deliver software product features through automated processes. The Internet of Things paradigm is impulsively and continuously reforming industrial endeavours. DevOps combines continuous integration followed by continuous testing which is then succeeded by continuous deployment and continuous delivery. Continuous monitoring is a nerve ending once the product is delivered. This entire combination helps to produce faster deployments with quality. The DevOps-related challenges in IoT projects are discussed in this paper. The DevOps methodology and its recommended practices are frequently used in combination with version control, monitoring, and alerting at the device level. It has outlined the software architecture for IoT devices. This study reviewed research articles to investigate challenges with the Internet of Things applications related to DevOps framework. This study also tried to explore solutions for those challenges in form of guidelines, practices to adhere to, and models suggested in various available literature. The proposed article identifies important issues that must be resolved to implement the DevOps culture in IoT applications. Additionally, the organizations' cultural difficulties confronted while placing DevOps into practice are studied and a model is developed to provide guidelines. Effectiveness measures under consideration are collaboration, sharing, efficiency, and quality (Business value). So, this study emphasizes the challenges related to these effectiveness measures. According to research, there are several obstacles to implementing a DevOps culture in IoT applications, including poor communication, less no of DevOps experts, weak collaboration, and less management support. This research suggested a new model, Industrial DevOps Maturity Model (IDMM) to provide usage guidelines that can be the solution to existing challenges related to the effectiveness measures faced while using DevOps framework in IoT applications.;"Internet of Things;DevOps;DevOps culture;DevOps challenges;DevOps guidelines;DevOps model;Industrial DevOps Maturity Model;IDMM";;2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS);IEEE;
ieee;;IEEE Conferences;Automated IoT security testing with SecLab;"P. Schwaiger; D. Simopoulos; A. Wolf";2022;10.1109/NOMS54207.2022.9789797;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9789797;With the growing number of IoT applications and devices, IoT security breaches are a dangerous reality. Cost pressure and complexity of security tests for embedded systems and networked infrastructure are often the excuse for skipping them completely. In our paper we introduce SecLab security test lab to overcome that problem. Based on a flexible and lightweight architecture, SecLab allows developers and IoT security specialists to harden their systems with a low entry hurdle. The open architecture supports the reuse of existing external security test libraries and scalability for the assessment of complex IoT Systems. A reference implementation of security tests in a realistic IoT application scenario proves the approach.;"IoT Security;Automated Testing;Security Lab;DevSecOps;Cyber-Physical Systems;DoRIoT;SecLab";;NOMS 2022-2022 IEEE/IFIP Network Operations and Management Symposium;IEEE;
